"bin_mid","Ab_phage","Ab_viral"
13.3,1,0
13.85,3,2
14.35,1,2
14.85,1,2
15.35,2,11
15.9,3,9
16.45,14,14
16.95,4,11
17.45,9,17
18,10,20
18.55,11,17
19.05,20,29
19.55,20,37
20.05,17,31
20.6,31,44
21.15,31,34
21.65,39,52
22.15,40,40
22.65,37,45
23.2,44,42
23.75,39,63
24.25,47,45
24.75,50,49
25.3,57,35
25.85,39,32
26.35,38,37
26.85,42,43
27.35,48,20
27.9,44,21
28.45,38,27
28.95,45,14
29.45,37,32
29.95,29,22
30.5,26,13
31.05,26,18
31.55,12,12
32.05,10,13
32.6,7,10
33.15,6,11
33.65,5,6
34.15,6,5
34.65,5,2
35.75,2,3
36.75,3,0
NA,1,0
12.75,0,2
35.2,0,3
36.25,0,1
37.8,0,2
